City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
281,Najran,SA,65.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
282,Itaueira,BR,81.88,clear sky,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
286,Mersing,MY,75.11,heavy intensity rain,2.4312,103.8405,Timotel Hotel
288,Matay,EG,74.86,clear sky,28.419,30.7792,Nag Aespen
289,Tura,IN,70.56,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
291,Cockburn Town,TC,82.17,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
292,Ankazoabo,MG,68.59,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
293,San Jose,US,70.0,few clouds,37.3394,-121.895,The Westin San Jose
298,Hithadhoo,MV,81.14,broken clouds,-0.6,73.0833,Scoop Guest House
299,Gamba,GA,74.26,overcast clouds,-2.65,10.0,
300,Kindu,CD,68.79,light rain,-2.95,25.95,Résidence Okanda
301,Sumbe,AO,73.8,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
305,Tabou,CI,75.88,light rain,4.423,-7.3528,hotêl doufoulougou
310,Springfield,US,65.88,few clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
311,Nabire,ID,84.61,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
312,Mabiton,PH,84.4,overcast clouds,12.8334,123.2612,
313,Emerald,AU,83.34,scattered clouds,-23.5333,148.1667,The Irish Village
314,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
315,Hobyo,SO,76.84,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
317,Bull Savanna,JM,77.11,overcast clouds,17.8868,-77.5902,Big Red's
324,Pemangkat,ID,80.73,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
325,Marawi,PH,79.5,scattered clouds,7.9986,124.2928,Derogongan Residence
326,Beni Suef,EG,74.73,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
327,Rojhan,PK,76.78,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
332,Balao,EC,70.57,overcast clouds,-2.9167,-79.8167,Gilson Stalin Lucas S
335,Yenagoa,NG,74.79,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
337,Koumac,NC,77.16,broken clouds,-20.5667,164.2833,Le Monitel
341,Somanda,TZ,72.7,scattered clouds,-3.3667,33.95,
342,Tessalit,ML,80.42,clear sky,20.1986,1.0114,
347,Touros,BR,77.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
349,Ponta Delgada,PT,66.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
350,Campbell River,CA,70.18,few clouds,50.0163,-125.2446,Anchor Inn & Suites
353,Port Macquarie,AU,70.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
355,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
356,Port-Gentil,GA,77.38,overcast clouds,-0.7193,8.7815,Fengshui Residence
357,Wankaner,IN,74.01,overcast clouds,22.6167,70.9333,Royal Oasis
358,Giyani,ZA,67.32,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
362,Kabinda,CD,66.07,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
363,Puerto Narino,CO,73.62,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
370,Awjilah,LY,67.5,clear sky,29.1081,21.2869,المنزل
371,Longyan,CN,74.1,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
373,Tabas,IR,72.25,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
374,Redmond,US,76.44,clear sky,47.674,-122.1215,Seattle Marriott Redmond
375,Catalina,US,76.23,broken clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
376,Marzuq,YE,67.75,clear sky,14.4,46.4667,حيد القفلة
377,Wajir,KE,75.81,overcast clouds,1.7471,40.0573,Mahatallah Hotel
