City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Shaunavon,CA,49.6501,-108.4181,47.98,34,100,10.96,overcast clouds
150,Kattivakkam,IN,13.2167,80.3167,82.49,82,38,2.59,scattered clouds
151,Kahului,US,20.8947,-156.47,87.82,63,40,17.27,scattered clouds
152,Honiara,SB,-9.4333,159.95,87.39,61,100,4.56,overcast clouds
153,Bredasdorp,ZA,-34.5322,20.0403,59.41,93,97,11.1,overcast clouds
154,Castro,BR,-24.7911,-50.0119,57.42,94,100,9.46,overcast clouds
155,Puro,PH,12.4841,123.3827,84.51,75,100,17.45,overcast clouds
156,Muros,ES,42.7762,-9.0603,64.09,93,100,17.65,overcast clouds
157,Nome,US,64.5011,-165.4064,35.67,36,0,20.71,dust
158,Mareeba,AU,-17.0,145.4333,86.43,59,14,8.86,few clouds
159,Kutum,SD,14.2,24.6667,72.45,29,6,8.21,clear sky
160,Constitucion,CL,-35.3333,-72.4167,55.67,73,86,9.04,overcast clouds
161,Bethel,US,41.3712,-73.414,61.65,73,0,6.91,clear sky
162,Isla Vista,US,34.4133,-119.861,69.82,80,40,10.36,scattered clouds
163,Cairns,AU,-16.9167,145.7667,91.06,61,75,8.05,broken clouds
164,East London,ZA,-33.0153,27.9116,65.79,83,100,17.83,overcast clouds
165,Margate,GB,51.3813,1.3862,56.7,82,49,3.0,scattered clouds
166,Qaanaaq,GL,77.484,-69.3632,29.84,85,100,24.61,snow
167,Saldanha,ZA,-33.0117,17.9442,60.85,82,61,6.44,broken clouds
168,Merauke,ID,-8.4667,140.3333,85.89,71,52,7.83,broken clouds
169,Itarema,BR,-2.9248,-39.9167,78.71,84,1,17.43,clear sky
170,Airai,TL,-8.9266,125.4092,73.36,53,100,4.16,overcast clouds
171,Sakakah,SA,29.9697,40.2064,69.37,21,6,4.36,clear sky
172,Hofn,IS,64.2539,-15.2082,39.67,61,14,23.91,few clouds
173,Arak,IR,34.0917,49.6892,57.65,29,23,3.04,few clouds
174,Yichang,CN,30.7144,111.2847,73.15,51,89,2.89,overcast clouds
175,Bardiyah,LY,31.7561,25.0865,70.48,73,5,17.2,light rain
176,Auki,SB,-8.7676,160.7034,86.5,62,100,4.16,overcast clouds
177,Chuy,UY,-33.6971,-53.4616,57.29,87,100,12.8,light rain
178,Kaithal,IN,29.8,76.3833,69.28,58,0,2.75,clear sky
179,Vila,PT,42.0304,-8.1588,54.48,93,100,5.37,overcast clouds
180,Inverell,AU,-29.7833,151.1167,72.66,58,23,5.01,few clouds
181,Samana,DO,19.2056,-69.3369,78.31,85,12,6.53,few clouds
182,Yulara,AU,-25.2406,130.9889,81.81,33,0,11.23,clear sky
183,Yarega,RU,63.4354,53.5765,38.82,96,100,4.03,overcast clouds
