City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Fairbanks,US,2022-10-14 19:26:16,64.8378,-147.7164,26.82,83,0,5.75
137,Bacolod,PH,2022-10-14 19:26:16,10.6667,122.95,78.31,89,99,9.8
138,Terney,RU,2022-10-14 19:26:16,45.0503,136.6092,53.08,75,100,3.02
139,Port Elizabeth,ZA,2022-10-14 19:26:18,-33.918,25.5701,62.31,99,100,6.91
140,San Quintin,MX,2022-10-14 19:26:18,30.4833,-115.95,69.67,67,25,10.42
141,Mayor Pablo Lagerenza,PY,2022-10-14 19:26:18,-19.9309,-60.7718,84.99,42,100,4.32
142,Port Lincoln,AU,2022-10-14 19:26:19,-34.7333,135.8667,53.92,69,100,5.99
143,Dawei,MM,2022-10-14 19:26:19,14.0833,98.2,74.59,92,40,2.19
144,Sfantu Gheorghe,RO,2022-10-14 19:26:19,45.8667,25.7833,47.93,91,100,3.71
145,Coihaique,CL,2022-10-14 19:26:20,-45.5752,-72.0662,57.15,44,0,9.22
146,Lhokseumawe,ID,2022-10-14 19:26:20,5.1801,97.1507,77.76,87,100,2.68
147,Quelimane,MZ,2022-10-14 19:26:20,-17.8786,36.8883,78.75,83,0,11.5
148,Arecibo,PR,2022-10-14 19:26:20,18.4724,-66.7157,87.37,75,92,1.99
149,Bethel,US,2022-10-14 19:26:21,41.3712,-73.414,68.02,63,0,8.05
150,Isangel,VU,2022-10-14 19:22:47,-19.55,169.2667,68.11,73,77,5.75
151,Tuatapere,NZ,2022-10-14 19:26:21,-46.1333,167.6833,43.48,75,1,4.85
152,Salym,RU,2022-10-14 19:26:21,60.0625,71.4789,40.69,76,100,9.57
153,Rouvroy,FR,2022-10-14 19:26:22,50.3925,2.904,59.36,82,100,5.1
154,Cabo San Lucas,MX,2022-10-14 19:22:55,22.8909,-109.9124,90.61,53,0,16.11
155,Adrar,MR,2022-10-14 19:26:22,20.5022,-10.0711,89.82,18,100,11.65
156,Bambous Virieux,MU,2022-10-14 19:26:22,-20.3428,57.7575,72.21,73,40,13.8
157,Koumac,NC,2022-10-14 19:26:23,-20.5667,164.2833,69.55,73,2,7.29
158,Pueblo,US,2022-10-14 19:26:03,38.2545,-104.6091,81.57,11,0,10.36
159,Bluff,NZ,2022-10-14 19:26:23,-46.6,168.3333,44.58,87,7,8.81
160,Cape Town,ZA,2022-10-14 19:26:23,-33.9258,18.4232,62.35,77,20,23.02
161,Bathsheba,BB,2022-10-14 19:26:23,13.2167,-59.5167,88.41,70,75,11.5
162,Tambura,SS,2022-10-14 19:26:24,5.6,27.4667,71.92,92,100,3.44
163,Manaus,BR,2022-10-14 19:24:20,-3.1019,-60.025,88.3,62,20,3.44
164,Sidi Ali,DZ,2022-10-14 19:26:24,36.0998,0.4206,72.61,55,0,6.51
165,Hasaki,JP,2022-10-14 19:26:24,35.7333,140.8333,71.22,74,100,17.2
166,Matara,LK,2022-10-14 19:26:25,5.9485,80.5353,75.72,93,100,7.58
167,Madimba,TZ,2022-10-14 19:26:25,-10.4,40.3333,72.82,83,0,7.45
168,Gat,IL,2022-10-14 19:26:25,31.61,34.7642,74.08,65,0,2.28
169,Fortuna,US,2022-10-14 19:25:12,40.5982,-124.1573,55.74,43,3,4.29
170,Souillac,MU,2022-10-14 19:26:26,-20.5167,57.5167,71.98,73,40,13.8
171,Lexington,US,2022-10-14 19:24:30,37.9887,-84.4777,68.34,18,0,10.36
172,Vila Franca Do Campo,PT,2022-10-14 19:26:26,37.7167,-25.4333,76.19,84,84,7.92
173,Bereda,ES,2022-10-14 19:26:26,43.2686,-7.5406,62.42,96,1,5.68
174,Santa Cruz Do Sul,BR,2022-10-14 19:26:03,-29.7175,-52.4258,63.19,70,100,10.07
175,Caravelas,BR,2022-10-14 19:26:27,-17.7125,-39.2481,79.61,63,12,8.08
176,Merritt,CA,2022-10-14 19:26:27,50.1123,-120.7942,70.47,37,73,2.46
177,Sisophon,KH,2022-10-14 19:26:27,13.5859,102.9737,71.1,79,100,5.37
178,Batagay-Alyta,RU,2022-10-14 19:26:27,67.8006,130.4114,5.79,91,36,4.7
179,Perbaungan,ID,2022-10-14 19:24:41,3.5679,98.956,75.31,94,100,5.57
180,Atar,MR,2022-10-14 19:26:28,20.5169,-13.0499,92.8,20,17,3.31
181,Honningsvag,NO,2022-10-14 19:26:28,70.9821,25.9704,42.55,93,100,9.22
182,Valparaiso,CL,2022-10-14 19:26:28,-33.0393,-71.6273,77.23,40,0,17.27
183,Dingle,PH,2022-10-14 19:27:29,10.9995,122.6711,75.81,91,44,5.64
